ClaimID,ScenarioID,CustomerID,ProductID,ProductCategory,Brand,ModelNumber,SerialNumber,PurchaseDate,ClaimDate,FaultDate,WarrantyDurationMonths,WarrantyExpiryDate,WarrantyStatus,WarrantyRemainingDays,ExtendedWarranty,FaultType,DamageType,FaultCovered,ClaimReportingWithinPeriod,ReceiptAvailable,WarrantyCardAvailable,ProductImageAvailable,SerialEvidenceAvailable,FaultEvidenceAvailable,RepairReportAvailable,PreviousRepair,RepairCount,RepairAuthorized,PreviousReplacement,ReplacementWithinWarranty,SerialNumberMatch,ProductModelConsistent,DuplicateClaimIndicator,DocumentDuplicateIndicator,ContradictionIndicator,RequiredDocumentsComplete,PurchaseProofAvailable,PriorClaimCount,ClaimAmount,PreviousRepairCost,OCRConfidence,ClaimSubmissionChannel,ClaimClass
CLM01034,MANUAL_34_SERIAL_WARNING,CUS01034,PROD01034,Washing Machine,PrimeView,PRI-WAS-1034,SN-2026-001034,2025-10-09,2026-04-09,2026-03-30,12,2026-10-09,Active,183,No,Overheating,Electrical Failure,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,Yes,No,N/A,Unknown,Yes,No,No,No,No,Yes,0,1732.68,684.76,0.812,Email,Manual Review
CLM00509,INVALID_09_SERIAL_MISMATCH,CUS00509,PROD00509,Air Conditioner,HomePro,HOM-AIR-0509,SN-2026-000509,2023-05-11,2023-10-31,2023-10-15,24,2025-05-11,Active,558,No,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,No,Yes,No,No,No,Yes,Yes,0,650.15,0.0,0.944,Service Center,Invalid Claim
CLM00855,INVALID_355_EXPIRED_WARRANTY,CUS00855,PROD00855,Printer,HomePro,HOM-PRI-0855,SN-2026-000855,2023-09-03,2024-12-02,2024-11-22,12,2024-09-03,Expired,-90,No,Noise,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,Yes,No,Yes,Yes,1,631.07,1057.57,0.796,Mobile App,Invalid Claim
CLM00570,INVALID_70_UNAUTHORIZED_REPAIR,CUS00570,PROD00570,Laptop,NovaTech,NOV-LAP-0570,SN-2026-000570,2024-08-17,2024-12-19,2024-12-12,12,2025-08-17,Active,241,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,268.24,1133.28,0.814,Mobile App,Invalid Claim
CLM01013,MANUAL_13_MISSING_DOCUMENT,CUS01013,PROD01013,Air Conditioner,Aster,AST-AIR-1013,SN-2026-001013,2023-08-13,2025-02-13,2025-02-07,36,2026-08-13,Active,546,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,0,N/A,Yes,Yes,Yes,Yes,No,No,No,No,Yes,3,704.09,0.0,0.819,Email,Manual Review
CLM01208,MANUAL_208_SERIAL_WARNING,CUS01208,PROD01208,Washing Machine,ZenCore,ZEN-WAS-1208,SN-2026-001208,2023-08-06,2024-02-06,2024-02-01,12,2024-08-06,Active,182,Yes,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Unknown,Yes,No,No,No,No,Yes,3,2740.0,0.0,0.888,Mobile App,Manual Review
CLM01122,MANUAL_122_CONTRADICTION,CUS01122,PROD01122,Laptop,HomePro,HOM-LAP-1122,SN-2026-001122,2024-06-03,2024-12-03,2024-11-23,12,2025-06-03,Active,182,No,Power Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Yes,No,No,No,Yes,Yes,Yes,0,1527.0,0.0,0.95,Web,Manual Review
CLM00203,VALID_203,CUS00203,PROD00203,Camera,HomePro,HOM-CAM-0203,SN-2026-000203,2025-05-04,2025-09-04,2025-08-23,12,2026-05-04,Active,242,Yes,Mechanical Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,778.02,0.0,0.979,Mobile App,Valid Claim
CLM00184,VALID_184,CUS00184,PROD00184,Air Conditioner,NovaTech,NOV-AIR-0184,SN-2026-000184,2026-01-15,2026-12-15,2026-12-01,24,2028-01-15,Active,396,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,350.59,0.0,0.92,Service Center,Valid Claim
CLM01189,MANUAL_189_LOW_OCR_CONFIDENCE,CUS01189,PROD01189,Refrigerator,HomePro,HOM-REF-1189,SN-2026-001189,2024-01-13,2024-07-13,2024-07-04,12,2025-01-13,Active,184,No,Power Failure,Electrical Failure,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2484.98,0.0,0.683,Service Center,Manual Review
CLM00262,VALID_262,CUS00262,PROD00262,Smartphone,PrimeView,PRI-SMA-0262,SN-2026-000262,2025-12-29,2026-02-28,2026-02-16,12,2026-12-29,Active,304,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,430.54,0.0,0.959,Mobile App,Valid Claim
CLM00405,VALID_405,CUS00405,PROD00405,Television,NovaTech,NOV-TEL-0405,SN-2026-000405,2025-03-03,2026-01-03,2025-12-22,24,2027-03-03,Active,424,No,Power Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,734.93,0.0,0.989,Web,Valid Claim
CLM01374,MANUAL_374_CONTRADICTION,CUS01374,PROD01374,Smartphone,ZenCore,ZEN-SMA-1374,SN-2026-001374,2024-01-29,2025-01-29,2025-01-28,24,2026-01-29,Active,365,No,Power Failure,Manufacturing Defect,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,No,No,No,Yes,No,No,0,1621.41,1001.69,0.935,Mobile App,Manual Review
CLM01111,MANUAL_111_LOW_OCR_CONFIDENCE,CUS01111,PROD01111,Air Conditioner,PrimeView,PRI-AIR-1111,SN-2026-001111,2025-04-20,2026-10-20,2026-10-14,36,2028-04-20,Active,548,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,3,1391.09,0.0,0.648,Mobile App,Manual Review
CLM00619,INVALID_119_REPORTING_PERIOD,CUS00619,PROD00619,Printer,NovaTech,NOV-PRI-0619,SN-2026-000619,2026-03-28,2027-03-28,2027-01-27,24,2028-03-28,Active,323,No,Water Leakage,Manufacturing Defect,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,No,Yes,No,Yes,No,Yes,Yes,0,1289.24,0.0,0.971,Email,Invalid Claim
CLM00931,INVALID_431_REPORTING_PERIOD,CUS00931,PROD00931,Camera,HomePro,HOM-CAM-0931,SN-2026-000931,2026-02-06,2026-08-06,2026-06-07,12,2027-02-06,Active,14,No,Display Failure,Manufacturing Defect,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,471.16,605.38,0.876,Web,Invalid Claim
CLM00402,VALID_402,CUS00402,PROD00402,Smartphone,PrimeView,PRI-SMA-0402,SN-2026-000402,2025-07-13,2025-12-13,2025-12-01,24,2027-07-13,Active,577,Yes,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,572.87,671.72,0.974,Service Center,Valid Claim
CLM00374,VALID_374,CUS00374,PROD00374,Washing Machine,PrimeView,PRI-WAS-0374,SN-2026-000374,2023-09-29,2023-12-29,2023-12-27,24,2025-09-29,Active,640,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,2531.59,0.0,0.913,Service Center,Valid Claim
CLM00183,VALID_183,CUS00183,PROD00183,Camera,HomePro,HOM-CAM-0183,SN-2026-000183,2023-04-18,2025-01-18,2025-01-11,36,2026-04-18,Active,455,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1995.45,0.0,0.923,Mobile App,Valid Claim
CLM00977,INVALID_477_SERIAL_MISMATCH,CUS00977,PROD00977,Refrigerator,PrimeView,PRI-REF-0977,SN-2026-000977,2023-09-14,2024-12-01,2024-11-09,24,2025-09-14,Active,287,No,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,No,Yes,No,No,No,Yes,Yes,3,814.92,0.0,0.787,Mobile App,Invalid Claim
CLM00229,VALID_229,CUS00229,PROD00229,Smartphone,NovaTech,NOV-SMA-0229,SN-2026-000229,2023-05-11,2024-08-11,2024-08-07,36,2026-05-11,Active,638,No,Display Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2002.48,0.0,0.919,Email,Valid Claim
CLM01486,MANUAL_486_INCOMPLETE_EVIDENCE,CUS01486,PROD01486,Air Conditioner,PrimeView,PRI-AIR-1486,SN-2026-001486,2024-07-16,2025-01-16,2025-01-10,12,2025-07-16,Active,181,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,No,Yes,2,2980.18,0.0,0.782,Service Center,Manual Review
CLM00428,VALID_428,CUS00428,PROD00428,Laptop,Aster,AST-LAP-0428,SN-2026-000428,2024-01-03,2024-04-03,2024-03-22,24,2026-01-03,Active,640,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,332.3,0.0,0.915,Web,Valid Claim
CLM00816,INVALID_316_UNAUTHORIZED_REPAIR,CUS00816,PROD00816,Smartphone,Aster,AST-SMA-0816,SN-2026-000816,2023-02-17,2024-05-19,2024-05-15,12,2024-02-17,Active,-92,Yes,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,No,N/A,Yes,Yes,No,No,No,Yes,Yes,2,2866.18,982.82,0.984,Email,Invalid Claim
CLM00915,INVALID_415_EXPIRED_WARRANTY,CUS00915,PROD00915,Camera,ZenCore,ZEN-CAM-0915,SN-2026-000915,2025-01-21,2026-04-21,2026-04-11,12,2026-01-21,Expired,-90,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,No,Yes,0,2205.51,0.0,0.907,Mobile App,Invalid Claim
CLM00958,INVALID_458_EXCLUDED_DAMAGE,CUS00958,PROD00958,Television,PrimeView,PRI-TEL-0958,SN-2026-000958,2023-05-04,2024-11-04,2024-10-30,36,2026-05-04,Active,546,No,Display Failure,Accidental Damage,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,3,1216.15,0.0,0.823,Service Center,Invalid Claim
CLM00411,VALID_411,CUS00411,PROD00411,Smartphone,Aster,AST-SMA-0411,SN-2026-000411,2024-10-29,2025-01-29,2025-01-16,36,2027-10-29,Active,1003,No,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2347.0,843.87,0.932,Email,Valid Claim
CLM00777,INVALID_277_EXPIRED_WARRANTY,CUS00777,PROD00777,Smartphone,HomePro,HOM-SMA-0777,SN-2026-000777,2024-01-05,2026-04-05,2026-03-26,24,2026-01-05,Expired,-90,No,Water Leakage,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,2,2054.87,0.0,0.887,Email,Invalid Claim
CLM00623,INVALID_123_SERIAL_MISMATCH,CUS00623,PROD00623,Air Conditioner,Aster,AST-AIR-0623,SN-2026-000623,2024-11-20,2026-12-06,2026-11-22,12,2025-11-20,Active,-381,No,Display Failure,Manufacturing Defect,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3,Yes,No,N/A,No,Yes,No,No,No,No,No,0,1746.22,558.06,0.778,Email,Invalid Claim
CLM01161,MANUAL_161_UNCLEAR_REPAIR,CUS01161,PROD01161,Refrigerator,HomePro,HOM-REF-1161,SN-2026-001161,2024-07-10,2025-01-10,2025-01-08,12,2025-07-10,Active,181,No,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,1,Unknown,No,N/A,Yes,Yes,No,No,No,No,Yes,3,194.17,0.0,0.757,Web,Manual Review
CLM00128,VALID_128,CUS00128,PROD00128,Laptop,NovaTech,NOV-LAP-0128,SN-2026-000128,2023-03-28,2023-10-28,2023-10-17,36,2026-03-28,Active,882,Yes,Display Failure,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,1194.04,0.0,0.988,Mobile App,Valid Claim
CLM00500,VALID_500,CUS00500,PROD00500,Laptop,ZenCore,ZEN-LAP-0500,SN-2026-000500,2024-05-29,2025-10-29,2025-10-26,24,2026-05-29,Active,212,No,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2090.16,0.0,0.949,Mobile App,Valid Claim
CLM00886,INVALID_386_EXCLUDED_DAMAGE,CUS00886,PROD00886,Printer,NovaTech,NOV-PRI-0886,SN-2026-000886,2023-04-18,2024-04-18,2024-04-13,24,2025-04-18,Active,365,Yes,Mechanical Failure,Normal Wear,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,2,74.01,0.0,0.833,Service Center,Invalid Claim
CLM00238,VALID_238,CUS00238,PROD00238,Refrigerator,ZenCore,ZEN-REF-0238,SN-2026-000238,2023-05-22,2024-05-22,2024-05-08,24,2025-05-22,Active,365,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,2570.91,0.0,0.963,Web,Valid Claim
CLM01196,MANUAL_196_SERIAL_WARNING,CUS01196,PROD01196,Television,PrimeView,PRI-TEL-1196,SN-2026-001196,2024-05-08,2025-11-08,2025-11-06,36,2027-05-08,Active,546,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,0,N/A,No,N/A,Unknown,Yes,No,No,No,No,Yes,3,2484.84,0.0,0.812,Service Center,Manual Review
CLM00719,INVALID_219_SERIAL_MISMATCH,CUS00719,PROD00719,Television,PrimeView,PRI-TEL-0719,SN-2026-000719,2025-05-12,2026-02-02,2026-01-19,24,2027-05-12,Active,464,No,Power Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,N/A,No,N/A,No,Yes,No,No,No,No,Yes,2,2113.22,0.0,0.792,Service Center,Invalid Claim
CLM01414,MANUAL_414_INCOMPLETE_EVIDENCE,CUS01414,PROD01414,Laptop,Aster,AST-LAP-1414,SN-2026-001414,2025-04-22,2026-10-22,2026-10-15,36,2028-04-22,Active,548,Yes,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,No,Yes,2,2734.89,0.0,0.84,Web,Manual Review
CLM00399,VALID_399,CUS00399,PROD00399,Air Conditioner,Aster,AST-AIR-0399,SN-2026-000399,2025-08-08,2027-03-08,2027-02-23,24,2027-08-08,Active,153,No,Water Leakage,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,1399.08,0.0,0.913,Mobile App,Valid Claim
CLM01172,MANUAL_172_SERIAL_WARNING,CUS01172,PROD01172,Washing Machine,HomePro,HOM-WAS-1172,SN-2026-001172,2023-11-22,2024-11-22,2024-11-15,24,2025-11-22,Active,365,No,Display Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Unknown,Yes,No,No,No,No,Yes,1,892.29,0.0,0.778,Service Center,Manual Review
CLM00921,INVALID_421_EXPIRED_WARRANTY,CUS00921,PROD00921,Camera,PrimeView,PRI-CAM-0921,SN-2026-000921,2023-09-08,2026-12-07,2026-11-27,36,2026-09-08,Expired,-90,Yes,Noise,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,No,Yes,2,1514.84,0.0,0.916,Service Center,Invalid Claim
CLM01115,MANUAL_115_MISSING_DOCUMENT,CUS01115,PROD01115,Television,PrimeView,PRI-TEL-1115,SN-2026-001115,2024-04-01,2025-10-01,2025-09-19,36,2027-04-01,Active,547,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,No,Yes,3,1925.23,0.0,0.768,Mobile App,Manual Review
CLM00716,INVALID_216_DUPLICATE_CLAIM,CUS00716,PROD00716,Refrigerator,HomePro,HOM-REF-0716,SN-2026-000716,2025-01-17,2026-07-24,2026-07-19,36,2028-01-17,Active,542,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,2,2955.24,0.0,0.89,Web,Invalid Claim
CLM00425,VALID_425,CUS00425,PROD00425,Camera,NovaTech,NOV-CAM-0425,SN-2026-000425,2024-07-29,2026-07-29,2026-07-17,36,2027-07-29,Active,365,No,Overheating,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,698.7,0.0,0.97,Mobile App,Valid Claim
CLM00318,VALID_318,CUS00318,PROD00318,Laptop,Aster,AST-LAP-0318,SN-2026-000318,2023-03-24,2023-12-24,2023-12-14,12,2024-03-24,Active,91,No,Display Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,1,854.66,0.0,0.949,Email,Valid Claim
CLM00063,VALID_63,CUS00063,PROD00063,Printer,PrimeView,PRI-PRI-0063,SN-2026-000063,2025-10-26,2028-07-26,2028-07-21,36,2028-10-26,Active,92,No,Connectivity Issue,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,817.75,0.0,0.988,Mobile App,Valid Claim
CLM00412,VALID_412,CUS00412,PROD00412,Printer,Aster,AST-PRI-0412,SN-2026-000412,2025-11-20,2026-03-20,2026-03-18,12,2026-11-20,Active,245,No,Battery Problem,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,0,818.8,0.0,0.964,Web,Valid Claim
CLM01227,MANUAL_227_UNCLEAR_REPAIR,CUS01227,PROD01227,Air Conditioner,Aster,AST-AIR-1227,SN-2026-001227,2024-07-09,2025-07-09,2025-07-06,24,2026-07-09,Active,365,No,Mechanical Failure,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Unknown,No,N/A,Yes,Yes,No,No,No,No,Yes,1,2858.71,0.0,0.937,Web,Manual Review
CLM00850,INVALID_350_EXCLUDED_DAMAGE,CUS00850,PROD00850,Washing Machine,HomePro,HOM-WAS-0850,SN-2026-000850,2025-10-03,2026-10-03,2026-09-28,24,2027-10-03,Active,365,No,Noise,Physical Damage,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Yes,Yes,No,No,No,Yes,Yes,2,94.25,0.0,0.842,Mobile App,Invalid Claim
CLM01082,MANUAL_82_SERIAL_WARNING,CUS01082,PROD01082,Refrigerator,PrimeView,PRI-REF-1082,SN-2026-001082,2025-11-08,2027-05-08,2027-05-04,36,2028-11-08,Active,550,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0,N/A,Yes,Yes,Unknown,Yes,No,No,No,No,Yes,0,169.75,0.0,0.862,Service Center,Manual Review
CLM01202,MANUAL_202_SERIAL_WARNING,CUS01202,PROD01202,Printer,HomePro,HOM-PRI-1202,SN-2026-001202,2025-10-08,2027-04-08,2027-03-31,36,2028-10-08,Active,549,No,Overheating,Electrical Failure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0,N/A,No,N/A,Unknown,Yes,No,No,No,No,Yes,3,1481.78,0.0,0.929,Web,Manual Review
CLM01256,MANUAL_256_SERIAL_WARNING,CUS01256,PROD01256,Printer,ZenCore,ZEN-PRI-1256,SN-2026-001256,2024-10-31,2025-04-30,2025-04-17,12,2025-10-31,Active,184,No,Connectivity Issue,Manufacturing Defect,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,N/A,No,N/A,Unknown,Yes,No,No,No,No,Yes,0,1389.71,0.0,0.84,Mobile App,Manual Review
CLM00708,INVALID_208_UNAUTHORIZED_REPAIR,CUS00708,PROD00708,Air Conditioner,Aster,AST-AIR-0708,SN-2026-000708,2026-01-28,2026-12-20,2026-12-02,36,2029-01-28,Active,770,No,Battery Problem,Electrical Failure,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2,No,No,N/A,Yes,Yes,No,No,No,No,Yes,2,1294.92,1147.47,0.808,Service Center,Invalid Claim
